50,10,0.001,2.5289133174675793E-5
50,10,0.002,6.886635393399328E-5
50,10,0.003,1.3812667915649325E-4
50,10,0.004,1.9770306826982672E-4
50,10,0.005,2.7553067830764986E-4
50,10,0.006,3.9100006908184524E-4
50,10,0.007,5.200518738105701E-4
50,10,0.008,6.154647306737409E-4
50,10,0.009,8.40202976593433E-4
50,10,0.01,9.292830537399423E-4
50,20,0.001,2.10481218441722E-5
50,20,0.002,5.089021812060465E-5
50,20,0.003,1.0970149731319496E-4
50,20,0.004,1.876495756139318E-4
50,20,0.005,2.9641031983096205E-4
50,20,0.006,4.075076699926366E-4
50,20,0.007,5.196230042801284E-4
50,20,0.008,6.417863312775682E-4
50,20,0.009,8.168295033684789E-4
50,20,0.01,9.682709957604259E-4
50,30,0.001,1.6595379028741837E-5
50,30,0.002,5.5218870150900416E-5
50,30,0.003,1.1419665934857125E-4
50,30,0.004,1.8621781397436835E-4
50,30,0.005,2.8567184740096356E-4
50,30,0.006,3.857846248913179E-4
50,30,0.007,5.176246661133241E-4
50,30,0.008,6.203847922541646E-4
50,30,0.009,7.7764345905181E-4
50,30,0.01,9.332248248295906E-4
50,40,0.001,1.6523913297022313E-5
50,40,0.002,5.380582797899715E-5
50,40,0.003,1.1163110613309284E-4
50,40,0.004,1.9303919735488514E-4
50,40,0.005,2.7575544250538285E-4
50,40,0.006,3.6571165410043073E-4
50,40,0.007,4.815429230977963E-4
50,40,0.008,6.071229720920598E-4
50,40,0.009,7.311857593105895E-4
50,40,0.01,8.799620113929566E-4
50,50,0.001,1.588004636319476E-5
50,50,0.002,5.844366837189625E-5
50,50,0.003,1.1228009153424325E-4
50,50,0.004,1.8325012691759667E-4
50,50,0.005,2.567232837903993E-4
50,50,0.006,3.5091632201103757E-4
50,50,0.007,4.5432149089407673E-4
50,50,0.008,5.703234269051216E-4
50,50,0.009,7.013132204127414E-4
50,50,0.01,8.431614287721854E-4
100,10,0.001,9.522143572824807E-6
100,10,0.002,3.36323165282997E-5
100,10,0.003,7.597714363886965E-5
100,10,0.004,1.399534566960609E-4
100,10,0.005,2.1333686529332026E-4
100,10,0.006,3.088153892605495E-4
100,10,0.007,4.395318598015078E-4
100,10,0.008,5.704039859706747E-4
100,10,0.009,7.026083955046594E-4
100,10,0.01,8.628993530202532E-4
100,20,0.001,1.0089571477217615E-5
100,20,0.002,3.9621483482096846E-5
100,20,0.003,9.3005356139786E-5
100,20,0.004,1.7419847886910109E-4
100,20,0.005,2.685722071035267E-4
100,20,0.006,3.817881195520291E-4
100,20,0.007,5.038762877671419E-4
100,20,0.008,6.446731541981364E-4
